ISO,Country,Data source,Sector,Gas,Unit,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
FRA,France,Climate Watch,Total excluding LUCF,All GHG,MtCO₂e,404.56,375.97,412.89,422.15,436.57,433.28,433.07,427.71,461.19,460.12,456.53,473.08,469.11,486.98,493.01,499.7,509.51,508.22,509.92,504.77,511.68,506.5,508.1,517.25,501.21,510.55,490.8,482.13,487.86,506.81,521.37,496.33
FRA,France,Climate Watch,Total including LUCF,All GHG,MtCO₂e,343.14,314.54,351.5,360.73,375.22,371.85,372.53,367.18,400.65,399.64,395.99,407.15,403.2,421.07,427.09,433.79,443.63,442.32,444.16,438.98,445.93,482.15,483.75,492.93,476.89,486.24,466.51,457.83,463.57,482.52,497.08,472.05
FRA,France,Climate Watch,Energy,All GHG,MtCO₂e,300.57,268.45,302.18,308.6,319.62,315.61,312.84,307.07,340.08,339.34,335.05,349.48,345.17,358.32,362.3,371.16,380.83,378.06,377.45,371.45,377.4,373.76,375.83,381.91,360.29,369.33,353.1,345.01,350.82,369.42,380.64,354.84
FRA,France,Climate Watch,Transportation,All GHG,MtCO₂e,122.05,108.79,128.65,128.9,131.84,131.21,130.67,129.41,129.21,130.25,131.31,126.35,126.05,127.44,133.36,134.08,133.76,136.05,135.83,137.23,137.33,135.61,132.62,132.25,127.69,125.12,125.35,124.4,123.55,122.42,119.88,116.21
FRA,France,Climate Watch,Agriculture,All GHG,MtCO₂e,68.9,71.61,72.72,74.2,76.35,75.44,77.2,76.44,76.02,74.98,74.57,76.65,76.58,78.6,79.62,77.88,78.22,79.8,80.07,81.78,84.05,84.03,82.81,82.72,82.97,83.86,82.67,82.13,81.62,82.18,86.15,87.12
FRA,France,Climate Watch,Building,All GHG,MtCO₂e,65.11,60.65,64.25,65.94,70.22,70.45,69.45,66.26,82.32,79.38,72.47,87.09,88.39,86.36,79.7,88.34,93.35,95.98,92.19,87.18,93.75,88.71,95.68,94.4,90.93,96.8,87.64,87.68,93.64,96.84,99.49,89.27
FRA,France,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,52.43,48.7,57.2,59.85,62.71,53.82,53.05,49.95,64.06,66.83,65.02,74.85,73.16,75.37,78.88,77.13,81.31,75.28,75.61,72.93,70.18,77.58,74.53,80.44,65.81,70.33,66.57,61.63,61.74,74.61,86.23,75.16
FRA,France,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,46.39,36.1,38.65,40.58,41.61,46.55,44.86,46.49,49.12,47.98,50.5,45.34,41.47,52.77,54.28,55.08,55.4,53.35,56.89,57.42,59.62,55.72,56.9,58.77,61.93,62.94,59.68,57.49,57.78,61.7,61.32,60.88
FRA,France,Climate Watch,Industrial Processes,All GHG,MtCO₂e,20.51,21.31,23.3,24.57,25.74,27.27,27.05,27.33,27.67,27.88,28.35,27.85,28.31,30.46,31.27,30.62,30.22,29.87,31.75,30.91,29.76,28.49,29.54,33.07,38.97,38.74,36.81,37.25,38.16,38.74,38.85,39.32
FRA,France,Climate Watch,Waste,All GHG,MtCO₂e,14.59,14.6,14.69,14.78,14.87,14.96,15.98,16.86,17.42,17.92,18.56,19.1,19.04,19.6,19.82,20.05,20.24,20.5,20.65,20.63,20.47,20.22,19.92,19.56,18.98,18.62,18.23,17.75,17.27,16.48,15.73,15.06
FRA,France,Climate Watch,Other Fuel Combustion,All GHG,MtCO₂e,12.64,12.36,11.47,11.42,11.27,11.57,12.92,13.17,13.31,12.85,13.73,13.48,13.91,14.09,13.81,14.21,14.59,15.03,14.55,14.38,14.2,13.89,13.88,13.85,11.73,11.8,11.55,11.53,11.8,11.57,11.43,11.19
FRA,France,Climate Watch,Bunker Fuels,All GHG,MtCO₂e,11.61,11.19,24.29,24.2,22.87,22.31,22.88,22.59,23.52,24.42,25.35,24.12,24.03,25.64,26.66,25.81,24.74,25.33,23.23,22.7,22.88,24.43,23.58,22.24,20.64,19.64,18.51,17.72,17.92,18.0,16.93,17.44
FRA,France,Climate Watch,Fugitive Emissions,All GHG,MtCO₂e,1.95,1.85,1.95,1.91,1.97,2.01,1.89,1.78,2.07,2.04,2.02,2.37,2.2,2.3,2.27,2.33,2.42,2.38,2.38,2.3,2.32,2.25,2.22,2.21,2.2,2.35,2.31,2.28,2.31,2.27,2.29,2.14
FRA,France,Climate Watch,Land-Use Change and Forestry,All GHG,MtCO₂e,-61.43,-61.43,-61.39,-61.42,-61.36,-61.42,-60.54,-60.52,-60.54,-60.48,-60.54,-65.92,-65.9,-65.91,-65.92,-65.92,-65.88,-65.9,-65.76,-65.79,-65.75,-24.35,-24.35,-24.32,-24.32,-24.31,-24.3,-24.3,-24.29,-24.29,-24.29,-24.29
